tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
9934,404027,06/04/2015,4,0,OnCurb,Alive,Fair,Ulmus pumila,Siberian elm,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,215 HART BOULEVARD,10301,Staten Island,501,5,Staten Island,49,61,24,SI35,SI35,5005900,New York,40.6298386,-74.10024691,956424.2066,168759.486
2010,315566,05/22/2015,20,0,OnCurb,Alive,Fair,Salix babylonica,weeping willow,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,15-060 WATERS EDGE DRIVE,11360,Bayside,407,4,Queens,19,26,11,QN47,QN47,4099703,New York,40.78679319,-73.77630798,1046194.69,226005.9581
306,501897,05/19/2015,5,0,OnCurb,Alive,Good,Ulmus pumila,Siberian elm,None,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1010 ROGERS PLACE,10459,Bronx,202,2,Bronx,17,79,32,BX33,BX33,2013100,New York,40.82393298,-73.89717699,1012707.841,239474.9043
4638,501928,05/27/2015,2,0,OnCurb,Alive,Fair,Carpinus caroliniana,American hornbeam,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,760 HUNTS POINT AVENUE,10474,Bronx,202,2,Bronx,17,84,32,BX27,BX27,2009300,New York,40.8159534,-73.88732049,1015439.516,236571.0131
311,501897,05/19/2015,4,0,OnCurb,Alive,Good,Ulmus pumila,Siberian elm,None,Helpful,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1038 ROGERS PLACE,10459,Bronx,202,2,Bronx,17,79,32,BX33,BX33,2013100,New York,40.82438002,-73.89740551,1012644.404,239637.7058
3962,404418,05/27/2015,24,0,OnCurb,Alive,Fair,Ulmus pumila,Siberian elm,None,Harmful,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,49 HOMER STREET,10301,Staten Island,501,5,Staten Island,49,61,23,SI37,SI37,5001700,New York,40.63358989,-74.07979181,962103.2257,170120.3435
1605,233037,05/22/2015,3,0,OnCurb,Alive,Good,Carpinus caroliniana,American hornbeam,None,None,Damage,TreesCount Staff,BranchOther,No,No,No,No,No,No,No,No,Yes,63 EAST 94 STREET,11212,Brooklyn,317,3,Brooklyn,41,55,20,BK96,BK96,3088200,New York,40.66349376,-73.92696544,1004512.17,181013.5055
5408,503434,05/28/2015,6,0,OnCurb,Alive,Good,Ulmus pumila,Siberian elm,None,None,NoDamage,NYC Parks Staff,"Stones,TrunkOther,BranchOther",Yes,No,No,No,No,Yes,No,No,Yes,233 EAST 172 STREET,10457,Bronx,204,2,Bronx,16,77,33,BX14,BX14,2022500,New York,40.84047219,-73.91130153,1008792.56,245496.4746
307,501897,05/19/2015,5,0,OnCurb,Alive,Good,Ulmus pumila,Siberian elm,None,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1010 ROGERS PLACE,10459,Bronx,202,2,Bronx,17,79,32,BX33,BX33,2013100,New York,40.82405853,-73.89726043,1012684.696,239520.6207
8644,405298,06/02/2015,4,0,OnCurb,Alive,Good,Acer palmatum,Japanese maple,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,221 WARD AVENUE,10304,Staten Island,501,5,Staten Island,49,61,23,SI08,SI08,5003300,New York,40.63117745,-74.08425568,960863.4014,169242.5877
3006,515974,05/26/2015,12,0,OnCurb,Alive,Good,Ulmus pumila,Siberian elm,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1000 PELHAM PARKWAY SOUTH,10461,Bronx,211,2,Bronx,13,80,34,BX49,BX49,2024800,New York,40.85691027,-73.859866,1023015.001,251504.0722
7384,516073,06/01/2015,37,0,OnCurb,Alive,Good,Ulmus pumila,Siberian elm,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,102 STEPHENS AVENUE,10473,Bronx,209,2,Bronx,18,85,34,BX09,BX09,2000400,New York,40.80809371,-73.8527994,1024999.705,233721.6268
5928,300984,05/29/2015,4,0,OnCurb,Alive,Good,Carpinus caroliniana,American hornbeam,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,30-025 NEWTOWN ROAD,11103,Astoria,401,4,Queens,22,36,12,QN70,QN70,4014900,New York,40.7630158,-73.91503285,1007787.488,217275.3801
7822,310450,06/01/2015,1,0,OnCurb,Alive,Fair,Magnolia,magnolia,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,125-002 QUEENS BOULEVARD,11415,Kew Gardens,409,4,Queens,29,27,14,QN60,QN60,4021600,New York,40.71211196,-73.82567452,1032578.299,198766.1783
9939,404027,06/04/2015,4,0,OnCurb,Alive,Good,Ulmus pumila,Siberian elm,1or2,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,215 HART BOULEVARD,10301,Staten Island,501,5,Staten Island,49,61,24,SI35,SI35,5005900,New York,40.6298951,-74.10025771,956421.2335,168780.0726
4635,501928,05/27/2015,3,0,OnCurb,Alive,Good,Amelanchier,serviceberry,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,745 HUNTS POINT AVENUE,10474,Bronx,202,2,Bronx,17,84,32,BX27,BX27,2009300,New York,40.81586964,-73.8872351,1015463.193,236540.5276
4918,503277,05/28/2015,3,0,OnCurb,Alive,Fair,Amelanchier,serviceberry,None,None,NoDamage,NYC Parks Staff,Stones,Yes,No,No,No,No,No,No,No,No,165 WEST 165 STREET,10452,Bronx,204,2,Bronx,8,84,29,BX26,BX26,2019300,New York,40.83482258,-73.92922951,1003833.614,243433.5965
1470,511130,05/21/2015,5,0,OnCurb,Alive,Good,Carpinus caroliniana,American hornbeam,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,1 BROUN PLACE,10475,Bronx,210,2,Bronx,12,82,36,BX13,BX13,2046201,New York,40.87346236,-73.82615412,1032328.674,257551.3445
1904,406646,05/22/2015,1,0,OnCurb,Alive,Fair,Betula pendula,silver birch,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,4 TURF COURT,10314,Staten Island,502,5,Staten Island,50,63,24,SI24,SI24,5027704,New York,40.58442679,-74.1545435,941323.7876,152236.7297
347,501893,05/19/2015,5,0,OnCurb,Alive,Fair,Carpinus caroliniana,American hornbeam,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,941 SIMPSON STREET,10459,Bronx,202,2,Bronx,17,85,32,BX27,BX27,2015900,New York,40.82144482,-73.89291593,1013888.264,238569.7936
5537,504072,05/28/2015,2,0,OnCurb,Alive,Good,Quercus imbricaria,shingle oak,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,17 EAST 176 STREET,10453,Bronx,205,2,Bronx,14,77,33,BX41,BX41,2023301,New York,40.8485645,-73.91110859,1008842.952,248444.8598
2987,515974,05/26/2015,4,0,OnCurb,Alive,Fair,Quercus imbricaria,shingle oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,810 PELHAM PARKWAY SOUTH,10462,Bronx,211,2,Bronx,13,80,34,BX49,BX49,2022403,New York,40.8568241,-73.86315035,1022106.508,251471.2392
4234,306521,05/27/2015,3,0,OnCurb,Alive,Poor,Betula papyrifera,paper birch,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,69-018 165 STREET,11365,Fresh Meadows,408,4,Queens,24,25,16,QN38,QN38,4122701,New York,40.73247495,-73.80407043,1038551.004,206197.6825
5955,405348,05/29/2015,7,0,OnCurb,Alive,Good,Eucommia ulmoides,hardy rubber tree,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,10 NORTHVIEW COURT,10301,Staten Island,501,5,Staten Island,49,61,23,SI22,SI22,5008100,New York,40.64414173,-74.0889449,959566.6248,173967.1124
2989,515974,05/26/2015,4,0,OnCurb,Alive,Fair,Quercus imbricaria,shingle oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2196 MATTHEWS AVENUE,10462,Bronx,211,2,Bronx,13,80,34,BX49,BX49,2022403,New York,40.85683381,-73.8627681,1022212.243,251474.943
9096,219225,06/03/2015,6,0,OnCurb,Alive,Good,Betula papyrifera,paper birch,3or4,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,66 BOERUM PLACE,11201,Brooklyn,302,3,Brooklyn,33,52,25,BK38,BK38,3004300,New York,40.68952294,-73.99028088,986945.3493,190488.3868
2983,515974,05/26/2015,4,0,OnCurb,Alive,Fair,Quercus imbricaria,shingle oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,800 PELHAM PARKWAY SOUTH,10462,Bronx,211,2,Bronx,13,80,34,BX49,BX49,2022403,New York,40.8568113,-73.86365399,1021967.194,251466.3597
1095,208021,05/20/2015,18,0,OnCurb,Alive,Good,Carpinus caroliniana,American hornbeam,1or2,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,115 FALMOUTH STREET,11235,Brooklyn,315,3,Brooklyn,48,45,22,BK17,BK17,3062000,New York,40.57948737,-73.94657984,999089.1603,150403.8341
4640,501928,05/27/2015,3,0,OnCurb,Alive,Good,Carpinus caroliniana,American hornbeam,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,755 HUNTS POINT AVENUE,10474,Bronx,202,2,Bronx,17,84,32,BX27,BX27,2009300,New York,40.81601025,-73.88737846,1015423.445,236591.7047
1469,511130,05/21/2015,6,0,OnCurb,Alive,Good,Carpinus caroliniana,American hornbeam,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,1 BROUN PLACE,10475,Bronx,210,2,Bronx,12,82,36,BX13,BX13,2046201,New York,40.87337465,-73.82620575,1032314.46,257519.3603
4639,501928,05/27/2015,2,0,OnCurb,Alive,Good,Carpinus caroliniana,American hornbeam,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,760 HUNTS POINT AVENUE,10474,Bronx,202,2,Bronx,17,84,32,BX27,BX27,2009300,New York,40.81598247,-73.88735014,1015431.296,236581.5958
